year,city,rate
2011,臺灣地區,37.88
2011,新北市,37.94
2011,臺北市,63.26
2011,桃園市,35.11
2011,臺中市,39.03
2011,臺南市,34.9
2011,高雄市,37.57
2011,宜蘭縣,29.22
2011,新竹縣,34.77
2011,苗栗縣,27.05
2011,彰化縣,28.1
2011,南投縣,27.68
2011,雲林縣,24.69
2011,嘉義縣,22.89
2011,屏東縣,27.02
2011,臺東縣,19.35
2011,花蓮縣,29.38
2011,澎湖縣,29.7
2011,基隆市,35.08
2011,新竹市,46.12
2011,嘉義市,49.82
2011,金門縣,23.88
2011,連江縣,27.61
2012,臺灣地區,38.99
2012,新北市,38.73
2012,臺北市,66
2012,桃園市,35.88
2012,臺中市,40.02
2012,臺南市,35.78
2012,高雄市,38.78
2012,宜蘭縣,30.19
2012,新竹縣,35.59
2012,苗栗縣,27.52
2012,彰化縣,28.68
2012,南投縣,28.27
2012,雲林縣,25.17
2012,嘉義縣,23.32
2012,屏東縣,27.81
2012,臺東縣,20.34
2012,花蓮縣,30.42
2012,澎湖縣,30.27
2012,基隆市,36.11
2012,新竹市,46.91
2012,嘉義市,51.53
2012,金門縣,25.09
2012,連江縣,28.04
2013,臺灣地區,40.08
2013,新北市,39.64
2013,臺北市,69.24
2013,桃園市,36.41
2013,臺中市,41.11
2013,臺南市,36.11
2013,高雄市,40.16
2013,宜蘭縣,30.71
2013,新竹縣,36.33
2013,苗栗縣,27.85
2013,彰化縣,29.11
2013,南投縣,28.86
2013,雲林縣,25.53
2013,嘉義縣,23.45
2013,屏東縣,28.19
2013,臺東縣,20.92
2013,花蓮縣,31.45
2013,澎湖縣,31.18
2013,基隆市,36.91
2013,新竹市,47.95
2013,嘉義市,52.93
2013,金門縣,25.32
2013,連江縣,28.02
2014,臺灣地區,41.17
2014,新北市,40.75
2014,臺北市,72.21
2014,桃園市,36.9
2014,臺中市,42.21
2014,臺南市,36.51
2014,高雄市,41.38
2014,宜蘭縣,31.02
2014,新竹縣,37.07
2014,苗栗縣,28.46
2014,彰化縣,29.44
2014,南投縣,29.96
2014,雲林縣,26.13
2014,嘉義縣,23.73
2014,屏東縣,28.84
2014,臺東縣,21.51
2014,花蓮縣,32.27
2014,澎湖縣,32.02
2014,基隆市,37.49
2014,新竹市,49.14
2014,嘉義市,54.75
2014,金門縣,26.52
2014,連江縣,30.25
2015,臺灣地區,42.22
2015,新北市,41.72
2015,臺北市,74.48
2015,桃園市,37.78
2015,臺中市,43.14
2015,臺南市,36.99
2015,高雄市,42.45
2015,宜蘭縣,31.73
2015,新竹縣,38.06
2015,苗栗縣,29.15
2015,彰化縣,29.88
2015,南投縣,30.73
2015,雲林縣,27.08
2015,嘉義縣,24.3
2015,屏東縣,29.65
2015,臺東縣,22.25
2015,花蓮縣,33.24
2015,澎湖縣,32.98
2015,基隆市,38.58
2015,新竹市,50.55
2015,嘉義市,56.55
2015,金門縣,27.68
2015,連江縣,31.18
2016,臺灣地區,43.3
2016,新北市,42.85
2016,臺北市,75.46
2016,桃園市,38.87
2016,臺中市,44.33
2016,臺南市,37.8
2016,高雄市,43.51
2016,宜蘭縣,33.26
2016,新竹縣,39.38
2016,苗栗縣,30.49
2016,彰化縣,30.67
2016,南投縣,32.24
2016,雲林縣,27.88
2016,嘉義縣,25.26
2016,屏東縣,30.69
2016,臺東縣,23.65
2016,花蓮縣,34.64
2016,澎湖縣,35.01
2016,基隆市,40.24
2016,新竹市,51.51
2016,嘉義市,57.23
2016,金門縣,28.55
2016,連江縣,31.06
2017,臺灣地區,44.43
2017,新北市,43.95
2017,臺北市,76.49
2017,桃園市,39.98
2017,臺中市,45.43
2017,臺南市,38.91
2017,高雄市,44.61
2017,宜蘭縣,34.55
2017,新竹縣,40.6
2017,苗栗縣,31.74
2017,彰化縣,31.98
2017,南投縣,33.53
2017,雲林縣,29.19
2017,嘉義縣,26.58
2017,屏東縣,31.91
2017,臺東縣,24.94
2017,花蓮縣,35.91
2017,澎湖縣,36.23
2017,基隆市,41.44
2017,新竹市,52.68
2017,嘉義市,58.31
2017,金門縣,29.36
2017,連江縣,33.62
2018,臺灣地區,45.53
2018,新北市,45.09
2018,臺北市,76.54
2018,桃園市,41.39
2018,臺中市,46.48
2018,臺南市,40.2
2018,高雄市,45.53
2018,宜蘭縣,36.06
2018,新竹縣,42.56
2018,苗栗縣,33.3
2018,彰化縣,33.59
2018,南投縣,35.14
2018,雲林縣,30.65
2018,嘉義縣,27.94
2018,屏東縣,33.02
2018,臺東縣,26.55
2018,花蓮縣,37.47
2018,澎湖縣,37.59
2018,基隆市,42.56
2018,新竹市,54.15
2018,嘉義市,58.99
2018,金門縣,29.64
2018,連江縣,34.38
2019,臺灣地區,46.59
2019,新北市,46.37
2019,臺北市,74.86
2019,桃園市,43.7
2019,臺中市,47.78
2019,臺南市,41.93
2019,高雄市,46.19
2019,宜蘭縣,37.43
2019,新竹縣,45.18
2019,苗栗縣,36.29
2019,彰化縣,35.71
2019,南投縣,35.91
2019,雲林縣,32
2019,嘉義縣,29.61
2019,屏東縣,33.53
2019,臺東縣,28.55
2019,花蓮縣,39.14
2019,澎湖縣,37.36
2019,基隆市,43.22
2019,新竹市,55.52
2019,嘉義市,58
2019,金門縣,30.96
2019,連江縣,37.21
2020,臺灣地區,47.56
2020,新北市,47.87
2020,臺北市,77.08
2020,桃園市,45.45
2020,臺中市,49.71
2020,臺南市,41.52
2020,高雄市,46.51
2020,宜蘭縣,35
2020,新竹縣,45.33
2020,苗栗縣,39.97
2020,彰化縣,36.12
2020,南投縣,35.44
2020,雲林縣,32.62
2020,嘉義縣,29.76
2020,屏東縣,32.11
2020,臺東縣,29.41
2020,花蓮縣,40.66
2020,澎湖縣,35.73
2020,基隆市,43.25
2020,新竹市,58.03
2020,嘉義市,57.68
2020,金門縣,31.87
2020,連江縣,44.07
