year,city,area
2011,臺灣地區,13.38
2011,新北市,9.69
2011,臺北市,9.53
2011,桃園市,14.1
2011,臺中市,15
2011,臺南市,14.46
2011,高雄市,15.09
2011,宜蘭縣,14.06
2011,新竹縣,16.16
2011,苗栗縣,16.36
2011,彰化縣,15.49
2011,南投縣,16.41
2011,雲林縣,15.74
2011,嘉義縣,16.42
2011,屏東縣,16.71
2011,臺東縣,15.86
2011,花蓮縣,16.71
2011,澎湖縣,12.77
2011,基隆市,10.03
2011,新竹市,15.29
2011,嘉義市,15.1
2011,金門縣,21.99
2011,連江縣,13.27
2012,臺灣地區,13.49
2012,新北市,9.6
2012,臺北市,9.64
2012,桃園市,14.63
2012,臺中市,15.45
2012,臺南市,14.79
2012,高雄市,14.85
2012,宜蘭縣,14.94
2012,新竹縣,15.54
2012,苗栗縣,16.95
2012,彰化縣,15.77
2012,南投縣,17.19
2012,雲林縣,14.67
2012,嘉義縣,17.47
2012,屏東縣,16.03
2012,臺東縣,15.51
2012,花蓮縣,15.37
2012,澎湖縣,13.03
2012,基隆市,11.1
2012,新竹市,15.48
2012,嘉義市,16.18
2012,金門縣,19.94
2012,連江縣,13.21
2013,臺灣地區,13.54
2013,新北市,9.72
2013,臺北市,9.87
2013,桃園市,14.12
2013,臺中市,15.49
2013,臺南市,14.16
2013,高雄市,15.1
2013,宜蘭縣,14.38
2013,新竹縣,16.89
2013,苗栗縣,18.29
2013,彰化縣,15.43
2013,南投縣,17.4
2013,雲林縣,16.46
2013,嘉義縣,16.15
2013,屏東縣,16.06
2013,臺東縣,17.21
2013,花蓮縣,15.15
2013,澎湖縣,13.86
2013,基隆市,11.68
2013,新竹市,13.93
2013,嘉義市,15.53
2013,金門縣,20.23
2013,連江縣,13.76
2014,臺灣地區,14.01
2014,新北市,10.12
2014,臺北市,10.2
2014,桃園市,14.07
2014,臺中市,16.18
2014,臺南市,15.45
2014,高雄市,15.85
2014,宜蘭縣,14.96
2014,新竹縣,17.52
2014,苗栗縣,17.02
2014,彰化縣,15.91
2014,南投縣,17.51
2014,雲林縣,16.93
2014,嘉義縣,16.74
2014,屏東縣,17.15
2014,臺東縣,17.86
2014,花蓮縣,16.22
2014,澎湖縣,15.27
2014,基隆市,11.41
2014,新竹市,14.71
2014,嘉義市,15.86
2014,金門縣,20.08
2014,連江縣,14.16
2015,臺灣地區,14.19
2015,新北市,10.13
2015,臺北市,10.2
2015,桃園市,14.77
2015,臺中市,16.4
2015,臺南市,15.36
2015,高雄市,15.97
2015,宜蘭縣,16.45
2015,新竹縣,16.91
2015,苗栗縣,17.88
2015,彰化縣,16.44
2015,南投縣,18.13
2015,雲林縣,16.76
2015,嘉義縣,15.27
2015,屏東縣,17.12
2015,臺東縣,16.1
2015,花蓮縣,16.94
2015,澎湖縣,16.31
2015,基隆市,11.33
2015,新竹市,15.1
2015,嘉義市,16.19
2015,金門縣,21.57
2015,連江縣,15.25
2016,臺灣地區,14.44
2016,新北市,10.44
2016,臺北市,10.49
2016,桃園市,15.03
2016,臺中市,17.06
2016,臺南市,15.39
2016,高雄市,15.38
2016,宜蘭縣,17.52
2016,新竹縣,16.37
2016,苗栗縣,17.47
2016,彰化縣,16.97
2016,南投縣,17.35
2016,雲林縣,19.03
2016,嘉義縣,15.91
2016,屏東縣,17.21
2016,臺東縣,18.5
2016,花蓮縣,17.4
2016,澎湖縣,15.5
2016,基隆市,10.87
2016,新竹市,15.6
2016,嘉義市,18.36
2016,金門縣,23.12
2016,連江縣,14.81
2017,臺灣地區,14.67
2017,新北市,10.48
2017,臺北市,10.31
2017,桃園市,15.31
2017,臺中市,16.76
2017,臺南市,16.02
2017,高雄市,16.1
2017,宜蘭縣,18.1
2017,新竹縣,17.07
2017,苗栗縣,18.62
2017,彰化縣,16.39
2017,南投縣,19.73
2017,雲林縣,17.45
2017,嘉義縣,17
2017,屏東縣,18.13
2017,臺東縣,17.67
2017,花蓮縣,18.9
2017,澎湖縣,17.17
2017,基隆市,12.36
2017,新竹市,15.63
2017,嘉義市,18.33
2017,金門縣,19.41
2017,連江縣,16.18
2018,臺灣地區,14.83
2018,新北市,10.78
2018,臺北市,10.06
2018,桃園市,16.26
2018,臺中市,16.95
2018,臺南市,16.38
2018,高雄市,16.14
2018,宜蘭縣,17.15
2018,新竹縣,18.35
2018,苗栗縣,18.97
2018,彰化縣,17.53
2018,南投縣,18.26
2018,雲林縣,17.35
2018,嘉義縣,16.08
2018,屏東縣,18.07
2018,臺東縣,17.82
2018,花蓮縣,18.41
2018,澎湖縣,17.25
2018,基隆市,12.02
2018,新竹市,16.23
2018,嘉義市,18.41
2018,金門縣,20.38
2018,連江縣,16.16
2019,臺灣地區,14.93
2019,新北市,10.62
2019,臺北市,10.37
2019,桃園市,16.27
2019,臺中市,16.86
2019,臺南市,16.71
2019,高雄市,16.37
2019,宜蘭縣,16.68
2019,新竹縣,17.78
2019,苗栗縣,19.22
2019,彰化縣,17.79
2019,南投縣,18.99
2019,雲林縣,18
2019,嘉義縣,17.14
2019,屏東縣,16.94
2019,臺東縣,18.34
2019,花蓮縣,18.24
2019,澎湖縣,18.47
2019,基隆市,11.54
2019,新竹市,15.56
2019,嘉義市,18.98
2019,金門縣,21.53
2019,連江縣,16.64
2020,臺灣地區,15.38
2020,新北市,11.31
2020,臺北市,10.54
2020,桃園市,15.3
2020,臺中市,17.04
2020,臺南市,17.89
2020,高雄市,16.49
2020,宜蘭縣,17.09
2020,新竹縣,19.38
2020,苗栗縣,20.1
2020,彰化縣,18.74
2020,南投縣,20.92
2020,雲林縣,17.39
2020,嘉義縣,18.72
2020,屏東縣,18.37
2020,臺東縣,21.64
2020,花蓮縣,17.24
2020,澎湖縣,18.97
2020,基隆市,12.93
2020,新竹市,16.2
2020,嘉義市,19.02
2020,金門縣,22.23
2020,連江縣,21.73
